team,predicted,estimated_position
Mercedes,0.8492780594040232,1
Ferrari,0.5318945637033513,2
Red Bull,0.42344252246927727,3
McLaren,0.3920747121267616,4
Alpine,0.15845056311820097,5
Aston Martin,0.08543616661847697,6
Haas,0.08406545040131773,7
Williams,0.027290619592443763,8
