team,predicted,estimated_position
Mercedes,0.8473657795540142,1
Ferrari,0.5314110055967873,2
Red Bull,0.4226029656113912,3
McLaren,0.3936348817169669,4
Alpine,0.14466223356222602,5
Aston Martin,0.08471782367821415,6
Haas,0.08425765495556327,7
Williams,0.027350653471498912,8
